entite;freq;verdict1;Vectict 2
Limoux;2;VP;VP
Luxembourg;2;VP;VP
Mont-;2;VP;FFP
Naples;2;VP;VP
Palerme;2;VP;VP
Parisl;2;VP;FFP
Rome;2;VP;FFP
rue Saint-Benoit;2;VP;VP
Saint-Germain-des-Pres;2;VP;FFP
Sarlande;2;VP;VP
theatre Montparnasse;2;VP;FFP
iles Marquises;3;VP;VP
Marseille;3;VP;VP
Nice;3;VP;VP
Rhone;3;VP;VP
rue Bonaparte;3;VP;VP
rue de Lille;3;VP;VP
rue Saint-Guillaume;3;VP;VP
"Saint-
Nizier";3;VP;VP
theatre;3;VP;VP
Cevennes;4;VP;VP
Saint-Germain;4;VP;VP
Montmartre;6;VP;VP
Pilois;6;VP;VP
rue Lanterne;6;VP;VP
Midi;8;VP;VP
la Prairie;10;VP;VP
Saint-Nizier;10;VP;VP
Saumon;14;VP;VP
Lyon;24;VP;VP
Paris;51;VP;VP
.'-;1;FP;FP
".A 
F";1;FP;FP
".G

-

'";1;FP;FP
1'abbe Germane;1;FP;FP
1'ceil;1;FP;FP
1E.;1;FP;FP
1N;1;FP;FP
1R-Fa;1;FP;FP
"3z-E
E
Wr
A";1;FP;FP
"7LL-L-L
LE PETIT";1;FP;FP
"A
 I";1;FP;FP
"A 4


d
' N
M

";1;FP;FP
aAdieu;1;FP;FP
aAI;1;FP;FP
"abbe
Germane";1;FP;FP
aC';1;FP;FP
Accoude;1;FP;FP
aEE;1;FP;FP
Ahl;1;FP;FP
AI;1;FP;FP
aimen;1;FP;FP
Algerien;1;FP;FP
alle;1;FP;FP
Allons;1;FP;FVP
Alsacien;1;FP;FVP
ames;1;FP;FP
amisln;1;FP;FP
aOr;1;FP;FP
apergus;1;FP;FP
Arabes;1;FP;FP
Arrivee;1;FP;FP
aSans;1;FP;FP
AY;1;FP;FP
baignai;1;FP;FVP
balbutiai;1;FP;FP
Bas;1;FP;FP
batie;1;FP;FP
benl;1;FP;FP
"BeteI74
LE PETIT CHOSE";1;FP;FP
beuf;1;FP;FP
bleme;1;FP;FP
bordeaux;1;FP;FP
BOUCOYRAN;1;FP;FP
bouteille debouchee;1;FP;FP
Bouzanquet;1;FP;FP
C-;1;FP;FP
"C-

ZA
3.-

R";1;FP;FP
Ca;1;FP;FP
cA-l;1;FP;FP
canape;1;FP;FP
ceda;1;FP;FP
Cenevol;1;FP;FP
Cevenol;1;FP;FP
Cevenole;1;FP;FP
chaine etait brisee;1;FP;FP
Chardon;1;FP;FP
chargiezk;1;FP;FP
Chateau-;1;FP;FP
chateaul;1;FP;FP
Chauve-Souris;1;FP;FVP
cheminee;1;FP;FP
Chinois;1;FP;FVP
"Chosel
Or";1;FP;FP
Choseln;1;FP;FP
clicl;1;FP;FP
Cocorico.l;1;FP;FP
Coedie;1;FP;FP
coin de la levre;1;FP;FP
Colombine;1;FP;FVP
Combien;1;FP;FP
Confusement;1;FP;FP
connaft;1;FP;FP
Consterna-;1;FP;FP
"Coucou-
Blanc";1;FP;FVP
Coucou-bBlanc;1;FP;FP
couragel;1;FP;FP
credence;1;FP;FP
Cunocepa;1;FP;FVP
Daniel;1;FP;FVP
Daniel.n;1;FP;FP
dejeuna;1;FP;FP
delices;1;FP;FP
deplume;1;FP;FP
dictce;1;FP;FP
discrete;1;FP;FP
e;1;FP;FP
"E
e-z.L5----

17";1;FP;FP
ean Peyrol;1;FP;FP
Ebloui;1;FP;FP
ecoutais;1;FP;FP
ecrivit;1;FP;FP
Ehl;1;FP;FP
elevee;1;FP;FP
Entrezl;1;FP;FP
eperdus;1;FP;FP
"est-a-dire
degrade";1;FP;FP
et-;1;FP;FP
exageree;1;FP;FP
Eyssettel;1;FP;FP
Eyssettte;1;FP;FP
Fanfan-la-Tulipe;1;FP;FP
fes;1;FP;FP
fle deserte;1;FP;FP
Foin;1;FP;FVP
Fougeroux;1;FP;FP
FR;1;FP;FP
Frangais;1;FP;FP
frangcais;1;FP;FP
Frinc;1;FP;FVP
g--;1;FP;FP
gardat;1;FP;FP
gardes-du-corps;1;FP;FP
gateaux;1;FP;FP
gr-c-;1;FP;FP
grand Baghavat;1;FP;FVP
Grand-Cercle;1;FP;FVP
Grand-Orient;1;FP;FP
gres;1;FP;FP
H;1;FP;FP
hM;1;FP;FP
Horreurl;1;FP;FP
"I

-
i--ar
-
LE ROMAN";1;FP;FP
I N-;1;FP;FP
I.E;1;FP;FP
I';1;FP;FP
"I43
Cevenole";1;FP;FP
I47;1;FP;FP
I49;1;FP;FP
Ih1;1;FP;FP
IIn;1;FP;FP
IM;1;FP;FP
IMes;1;FP;FP
Infortune;1;FP;FP
IoI;1;FP;FP
Is1;1;FP;FP
Italien;1;FP;FP
Italiens;1;FP;FVP
IW/;1;FP;FP
IX;1;FP;FP
IZ;1;FP;FP
Iz;1;FP;FP
"J

-'
1
x
1
";1;FP;FP
"J4
-
 ";1;FP;FP
K;1;FP;FP
Kalatala;1;FP;FVP
kohl;1;FP;FVP
L-LL-LL-;1;FP;FP
L.-iw;1;FP;FP
L.R;1;FP;FP
L.sdin--;1;FP;FP
la-bas;1;FP;FVP
Laf;1;FP;FP
Lakamana;1;FP;FP
Lalouettel;1;FP;FP
Langlumeau;1;FP;FVP
Ld-bas;1;FP;FP
Le Rosellen;1;FP;FVP
legcon;1;FP;FP
lerai;1;FP;FP
levre;1;FP;FP
lF-;1;FP;FP
Lh;1;FP;FP
Lh-haut;1;FP;FP
lha-bas;1;FP;FP
lievre;1;FP;FP
lisezl;1;FP;FP
"litl Nous sommes
brlees";1;FP;FP
LL-LLL-L.L.L-LL;1;FP;FP
LL7sLL-LL-L-L3;1;FP;FP
LLLLLLL-LLLLLLLL-;1;FP;FP
LN;1;FP;FP
"LP-N

A
f
";1;FP;FP
maitres,-;1;FP;FP
Malheureuse-;1;FP;FP
mariee;1;FP;FP
MASoN;1;FP;FP
mastoides;1;FP;FVP
Mefie-toi;1;FP;FP
melancoliek;1;FP;FP
MIimi-Pinson;1;FP;FP
miserablel;1;FP;FP
Misricordel;1;FP;FP
Mlol;1;FP;FP
MmAe Lalouette;1;FP;FP
mont-de-piete;1;FP;FP
MP Eyssettel;1;FP;FP
Muguet;1;FP;FP
mystere;1;FP;FP
"N

tA


 1";1;FP;FP
"N
EZEYt";1;FP;FP
"N
P";1;FP;FP
N3;1;FP;FP
NC2;1;FP;FP
Necro-;1;FP;FP
Neuf-des-Papes;1;FP;FP
NJ;1;FP;FP
Nt;1;FP;FP
Or;1;FP;FP
oubli6;1;FP;FP
pagna;1;FP;FP
Parfaitl Venez;1;FP;FP
Parlons;1;FP;FVP
perche;1;FP;FP
petille;1;FP;FP
Petit Chose;1;FP;FP
Petit-Cercle;1;FP;FVP
"Pierrotte
Pierrotte";1;FP;FP
Pierrotte - qui;1;FP;FP
Pierrotte.n;1;FP;FP
Pl;1;FP;FP
poeme;1;FP;FP
portier Cassagne;1;FP;FVP
"R


tl";1;FP;FP
R-L;1;FP;FP
r8 fevrier;1;FP;FP
rade de;1;FP;FP
Rana-Valo;1;FP;FVP
RBvE;1;FP;FP
Regardezl;1;FP;FP
reservel Est;1;FP;FP
reveillee;1;FP;FP
Reveries;1;FP;FP
Revolutionl;1;FP;FP
Rienl;1;FP;FP
Rose;1;FP;FP
rs;1;FP;FP
Saint-Emilion;1;FP;FVP
saluerentIIIRIAR;1;FP;FP
Sapristil;1;FP;FP
Sar-;1;FP;FP
Sarlandais;1;FP;FVP
seche;1;FP;FP
secrdtaire;1;FP;FP
Ser-;1;FP;FP
sitot;1;FP;FP
soleil;1;FP;FP
Souwaroff;1;FP;FVP
spectaclel;1;FP;FP
suisse;1;FP;FVP
talle;1;FP;FP
tempete;1;FP;FP
tenezl;1;FP;FP
tiennes;1;FP;FVP
Tiens;1;FP;FP
toitl;1;FP;FP
tomberent;1;FP;FP
"tonnellel
";1;FP;FP
tragedienne;1;FP;FP
tres genereux;1;FP;FP
Tres joli;1;FP;FP
tristel;1;FP;FP
va-t';1;FP;FP
vages;1;FP;FP
val;1;FP;FP
vecus;1;FP;FP
VENDRAS;1;FP;FP
Vendredil;1;FP;FP
Venez;1;FP;FP
ventrebleul;1;FP;FP
victoria;1;FP;FVP
Vieux-College;1;FP;FP
Viva-;1;FP;FP
Voilh;1;FP;FP
voill;1;FP;FP
W,--r;1;FP;FP
W1;1;FP;FP
WL;1;FP;FP
"x

Nr";1;FP;FP
Y-N;1;FP;FP
yAZ;1;FP;FP
z.;1;FP;FP
ZY;1;FP;FP
aJ';2;FP;FP
Annoul;2;FP;FP
Bientot;2;FP;FP
Champenoise;2;FP;FVP
conge;2;FP;FP
cremerie;2;FP;FP
Desir-de-plaire;2;FP;FP
E;2;FP;FP
kakatoes;2;FP;FP
ld-bas;2;FP;FP
lh-bas;2;FP;FP
luil;2;FP;FP
M;2;FP;FP
mienne;2;FP;FVP
N-;2;FP;FP
Parisien;2;FP;FVP
Parisiens;2;FP;FVP
Pecairel;2;FP;FP
Philistine;2;FP;FVP
Porcelaines;2;FP;FVP
R;2;FP;FP
repondre;2;FP;FP
Saint-Theophile;2;FP;FVP
sr;2;FP;FP
abbe;3;FP;FP
Camillel;3;FP;FP
frangais;3;FP;FP
gatee;3;FP;FP
hote;3;FP;FP
Muguets;3;FP;FVP
O;3;FP;FP
P;3;FP;FP
pele-mele;3;FP;FP
Providence;3;FP;FVP
Robinsonl;3;FP;FP
Rosellen;3;FP;FP
tournai;3;FP;FVP
Hacqueville;4;FP;FVP
L-;4;FP;FP
piece;4;FP;FP
tete;4;FP;FP
Anastagille;5;FP;FVP
F;5;FP;FP
fievre;5;FP;FP
Apres;6;FP;FP
clocher de Saint-Germain;6;FP;FVP
Turc;6;FP;FVP
Iacques;7;FP;FP
N;7;FP;FP
etais;9;FP;FP
Serrieres;9;FP;FP
Bamban;11;FP;FVP
Coucou-Blanc;16;FP;FVP
MI;16;FP;FP
Est;19;FP;FVP
Boucoyran;20;FP;FVP
Annou;22;FP;FVP
abbe Germane;24;FP;FP
I;38;FP;FP
Eyssette;45;FP;FVP
A;52;FP;FP
Pierrotte;128;FP;FVP
