entite;freq;verdict1;vectict tess .;verdict kraken
Saint-Germain;6;VP;VP;VP
Cévennes;7;VP;VP;VP
Montparnasse;7;VP;VP;VP
Midi;8;VP;VP;VP
la Prairie;11;VP;VP;VP
Sarlande;13;VP;VP;VP
Saumon;14;VP;VP;VP
Saint-Nizier;15;VP;VP;VP
Lyon;24;VP;VP;VP
Paris;59;VP;VP;VP
Allons;1;FP;FFP;FFP
Arabes;1;FP;FFP;FFP
Araignée;1;FP;FFP;FFN
Bachagas;1;FP;FFN;FFN
baignai;1;FP;FFN;FFP
Barrière;1;FP;FFN;FFN
Bengalis;1;FP;FFN;FFN
Bhagirathg;1;FP;FFN;FFN
bordeaux;1;FP;FFP;FFP
Bouzanquet;1;FP;FFP;FFP
Cachottier;1;FP;FFN;FFN
Carmélites;1;VP;VP;VP
Cassagne;1;FP;FFN;FFN
Chardon;1;FP;FFP;FFP
Châteauneuf-du-Pape;1;FP;FFP;FFN
Chauve-Souris;1;FP;FFN;FFN
Chinois;1;FP;FFP;FFP
Colombine;1;FP;FFP;FFP
Confusément;1;FP;FFP;FFP
Coucou-Blanc !;1;FP;FFP;FFP
Cristaux;1;FP;FFN;FFN
Çudra;1;FP;FFP;FFN
Cunocépa;1;FP;FFP;FFP
Daniel;1;FP;FFP;FFP
Dépêchons;1;FP;FFN;FFN
Espéron;1;FP;FFN;FFN
Foin;1;FP;FFP;FFP
grand Baghavat;1;FP;FFN;FFP
Grand-Cercle;1;FP;FFP;FFP
grésil;1;FP;FFP;FFN
hem;1;FP;FFN;FFN
huppe jaune;1;FP;FFP;FFN
III;1;FP;FFN;FFN
irons là-bas;1;FP;FFP;FFN
Italiens;1;FP;FFP;FFP
kakatoès;1;FP;FFP;FFP
Kalatçala;1;FP;FFP;FFP
kohl;1;FP;FFP;FFP
Lakçamana;1;FP;FFP;FFP
Langlumeau;1;FP;FFP;FFP
Le Rosellen;1;FP;FFN;FFP
M;1;FP;FFN;FFN
mastoïdes;1;FP;FFP;FFP
mienne;1;FP;FFP;FFP
miséra-a-ble !;1;FP;FFN;FFN
montons;1;FP;FFN;FFN
Musette;1;FP;FFP;FFN
Négresse Coucou;1;FP;FFN;FFN
Or;1;FP;FFN;FFN
Pardieu;1;FP;FFP;FFN
Parlons;1;FP;FFN;FFP
Petit Daniel;1;FP;FFN;FFN
Petit-Cercle;1;FP;FFP;FFP
Pierrotte d'autrefois;1;FP;FFN;FFN
Place !;1;FP;FFP;FFN
porcelainière;1;FP;FFN;FFN
Porte;1;FP;FFP;FFN
porte de la Négresse;1;FP;FFN;FFN
portier Cassagne;1;FP;FFP;FFP
Rana-Volo;1;FP;FFP;FFP
Saint-Emilion;1;FP;FFP;FFP
sanglotaient là-bas;1;FP;FFN;FFN
Sarlandais;1;FP;FFP;FFP
Sois;1;FP;FFP;FNN
Souwaroff;1;FP;FFP;FFP
Suis;1;FP;FFP;FFN
suisse;1;FP;FP;FFP
sûmes;1;FP;FFP;FFN
tiennes;1;FP;FFP;FFP
titis;1;FP;FFP;FFN
V;1;FP;FFN;FFN
Vénus;1;FP;FFP;FFN
victoria;1;FP;FFP;FFP
Vieille;1;FP;FFN;FFN
vingt-dix-neuf;1;FP;FFN;FFN
Vlan;1;FP;FFN;FFN
Alsacien;2;FP;FFP;FFP
Champenoise;2;FP;FFP;FFP
là-bas;2;FP;FFP;FFP
Négresse Coucou-Blanc;2;FP;FFN;FFN
O;2;FP;FFN;FFN
Parisien;2;FP;FFP;FFP
Parisiens;2;FP;FFP;FFP
Philistine;2;FP;FFP;FFP
Porcelaines;2;FP;FFP;FFP
Sonne;2;FP;FFP;FFN
califourchon;3;FP;FFP;FFN
Frinc;3;FP;FFP;FFP
Muguets;3;FP;FFP;FFP
Négresse;3;FP;FFN;FFN
Providence;3;FP;FFP;FFP
Saint-Théophile;3;FP;FFP;FFP
tournai;3;FP;FFP;FFP
Anastagille;5;FP;FFP;FFP
Hacqueville;5;FP;FFP;FFP
clocher de Saint-Germain;6;FP;FFP;FFP
Turc;6;FP;FFP;FFP
Bamban;14;FP;FFP;FFP
Coucou-Blanc;21;FP;FFP;FFP
Annou;23;FP;FFP;FFP
Boucoyran;24;FP;FFP;FFP
Est;32;FP;FFP;FFP
Eyssette;38;FP;FFP;FFP
Pierrotte;137;FP;FFP;FFP
